"Source:","/Users/user/hvawg/board2_HV_MODULE_15A12/revised_minh_design.kicad_sch"
"Date:","Thursday, 30 June 2022 at 15:19:40"
"Tool:","Eeschema (6.0.5-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","18"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","0.1uF","C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"C3, ","1","0.1uF","C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","Unpolarized capacitor",""
"D1, ","1","TZX3V6A-TR","D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","Zener diode",""
"D2, ","1","LED","LED","LED_THT:LED_D3.0mm_Clear","Light emitting diode",""
"J1, ","1","Conn_01x07_Male","Conn_02x05_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","Conn_01x02_Male","Conn_01x02_Male","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, R3, ","2","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R2, ","1","4.7k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R4, ","1","1K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R5, R7, ","2","2K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R6, R8, ","2","1.1K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"U1, ","1","LM7805_TO220","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220",""
"U2, ","1","NE5532","NE5532","Package_DIP:DIP-8_W7.62mm","Dual Low-Noise Operational Amplifiers, DIP-8/SOIC-8",""
"U4, ","1","15A12","15A12","Library:Advanced Energy 15A12P4","",""
