"Source:","/Users/user/SHVRIMPS/SHVRIMPS/hardware/board1_Arduino_ADC_DAC/revised_minh_design.kicad_sch"
"Date:","Saturday, 24 September 2022 at 17:25:57"
"Tool:","Eeschema (6.0.5-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","45"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"A1, ","1","Arduino_Nano_v3.x","Arduino_Nano_v3.x","Module:Arduino_Nano","Arduino Nano v3.x",""
"C1, C2, C4, C5, C6, C7, C11, C15, C16, C17, C18, C20, C22, ","13","0.1uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C3, C8, C9, C19, C21, ","5","10uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C10, C12, ","2","2.2uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C13, ","1","1nF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"C14, ","1","1uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"D1, ","1","SM4004","SM4004","Diode_SMD:D_MELF","400V 1A General Purpose Rectifier Diode, MELF",""
"J1, ","1","Conn_01x03_Male","Conn_01x03_Male","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, J3, J4, ","3","Conn_02x08_Odd_Even","Conn_02x08_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x08_P2.54mm_Vertical","Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, ","1","Conn_01x02_Male","Conn_01x02_Male","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, R3, R4, ","3","0","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor",""
"R2, ","1","50","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor",""
"R5, R6, ","2","100k","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor",""
"TP1, ","1","TestPoint","TestPoint","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","test point",""
"U1, ","1","ESP32-DevKit-C","ESP32-DevKit-C","Library:ESP32-devkitC-v4","",""
"U2, ","1","LM7805_TO220","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220",""
"U3, ","1","MCP1754S-3302xCB","MCP1754S-3302xCB","Package_TO_SOT_SMD:SOT-23","Fixed 150mA Low Dropout Voltage Regulator, Positive, 3.3V output, SOT-23",""
"U4, ","1","MCP1825S-3.3V","MCP1825S","Package_TO_SOT_SMD:SOT-223-3_TabPin2","500mA, Low-Voltage, Low Quiescent Current LDO Regulator, SOT-223, TO-220, TO-263",""
"U5, ","1","MCP1501-33xSN","MCP1501-33xSN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","3.3V, 0.1%, 20mA, Precision Voltage Reference, SOIC-8",""
"U6, U7, ","2","MCP3464R","MCP3464R","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","",""
"U8, ","1","DAC8568IAPW","DAC8568IAPW","Package_SO:TSSOP-16-1EP_4.4x5mm_P0.65mm","",""
"X1, ","1","ECS-2520MVLC-049-BN-TR","ECS-2520MV-xxx-xx","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","HCMOS Crystal Clock Oscillator, 2.5x2.0 mm SMD",""
